subject,item,condition,ID,ffd,sfd,gzd,tvt,gpt,skp,rgi,rgo,exp,wordtype,wordtype3,target.freq,relative.freq,word.freq,pred.raw,pred.split,divergence
1,66,3,66.3,NA,NA,NA,202,NA,0,1,0,SCA,Ortho_control,3,H,L,L,0.5,high,161.5
1,67,1,67.1,299,299,299,441,299,1,1,0,SCA,Target,2,H,T,H,0,low,161.5
1,68,2,68.2,NA,NA,NA,225,NA,0,1,0,SCA,Homophone,1,H,L,L,0,low,161.5
1,69,3,69.3,201,201,201,201,335,1,0,1,SCA,Ortho_control,3,H,L,L,0,low,161.5
1,70,1,70.1,164,164,164,164,286,1,0,1,SCA,Target,2,L,T,L,0,low,161.5
1,71,2,71.2,406,406,406,406,406,1,0,0,SCA,Homophone,1,L,H,H,0,low,161.5
1,72,3,72.3,303,303,303,303,303,1,0,0,SCA,Ortho_control,3,L,H,L,0,low,161.5
1,73,1,73.1,165,165,165,165,165,1,0,0,SCA,Target,2,L,T,L,0.5,high,161.5
1,74,2,74.2,169,169,169,169,169,1,0,0,SCA,Homophone,1,L,L,L,0.4,high,161.5
1,75,3,75.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,H,H,0.2,low,161.5
1,77,2,77.2,NA,NA,NA,214,NA,0,1,0,SCA,Homophone,1,L,H,H,0.3,low,161.5
1,78,3,78.3,212,NA,451,451,451,1,0,0,SCA,Ortho_control,3,L,H,H,0.6,high,161.5
1,80,2,80.2,185,185,185,185,185,1,0,0,SCA,Homophone,1,L,L,L,0.8,high,161.5
1,81,3,81.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,H,H,0.3,low,161.5
1,82,1,82.1,186,186,186,186,186,1,0,0,SCA,Target,2,H,T,H,0.9,high,161.5
1,83,2,83.2,239,239,239,239,239,1,0,0,SCA,Homophone,1,H,H,H,0.1,low,161.5
1,84,3,84.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,H,H,0,low,161.5
1,85,1,85.1,222,222,222,222,222,1,0,0,SCA,Target,2,H,T,L,0.4,high,161.5
1,86,2,86.2,368,368,368,580,368,1,1,0,SCA,Homophone,1,H,L,L,0.7,high,161.5
1,87,3,87.3,NA,NA,NA,368,NA,0,1,0,SCA,Ortho_control,3,H,L,L,0.3,low,161.5
1,88,1,88.1,279,279,279,279,279,1,0,0,SCA,Target,2,L,T,L,0.4,high,161.5
1,89,2,89.2,244,244,244,244,401,1,0,1,SCA,Homophone,1,L,H,L,0.4,high,161.5
1,90,3,90.3,187,187,187,187,187,1,0,0,SCA,Ortho_control,3,L,L,L,0.4,high,161.5
1,91,1,91.1,202,202,202,202,202,1,0,0,SCA,Target,2,H,T,H,0.3,low,161.5
1,92,2,92.2,217,217,217,217,217,1,0,0,SCA,Homophone,1,H,L,H,0.4,high,161.5
1,93,3,93.3,172,172,172,416,381,1,1,1,SCA,Ortho_control,3,H,H,H,0.2,low,161.5
1,94,1,94.1,211,211,211,211,211,1,0,0,SCA,Target,2,L,T,L,0.9,high,161.5
1,96,3,96.3,297,297,297,297,297,1,0,0,SCA,Ortho_control,3,L,L,L,0.2,low,161.5
1,97,1,97.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.7,high,161.5
1,98,2,98.2,NA,NA,NA,79,NA,0,1,0,SCA,Homophone,1,H,L,L,0.9,high,161.5
1,99,3,99.3,189,NA,189,274,356,1,0,1,SCA,Ortho_control,3,H,L,L,0.3,low,161.5
1,101,2,101.2,311,311,311,311,311,1,0,0,SCA,Homophone,1,H,H,H,0,low,161.5
1,102,3,102.3,197,197,197,197,197,1,0,0,SCA,Ortho_control,3,H,H,H,0.1,low,161.5
1,103,1,103.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.9,high,161.5
1,105,3,105.3,390,390,390,954,390,1,1,0,SCA,Ortho_control,3,H,L,L,1,high,161.5
1,106,1,106.1,249,249,249,249,249,1,0,0,SCA,Target,2,L,T,L,0.1,low,161.5
1,107,2,107.2,152,152,152,152,152,1,0,0,SCA,Homophone,1,L,H,H,0,low,161.5
1,108,3,108.3,NA,NA,NA,344,NA,0,1,0,SCA,Ortho_control,3,L,H,L,0.5,high,161.5
1,109,1,109.1,171,171,171,171,171,1,0,0,SCA,Target,2,H,T,H,0.9,high,161.5
1,110,2,110.2,158,158,158,158,158,1,0,0,SCA,Homophone,1,H,L,H,0.5,high,161.5
1,111,3,111.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,H,H,1,high,161.5
1,112,1,112.1,293,293,293,293,293,1,0,0,SCA,Target,2,L,T,L,0.5,high,161.5
1,113,2,113.2,NA,NA,NA,206,NA,0,1,0,SCA,Homophone,1,L,H,H,0.8,high,161.5
1,114,3,114.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,H,H,0.4,high,161.5
1,115,1,115.1,303,303,303,303,303,1,0,0,SCA,Target,2,H,T,H,0.2,low,161.5
1,117,3,117.3,233,NA,446,446,664,1,0,1,SCA,Ortho_control,3,H,L,L,0.9,high,161.5
1,118,1,118.1,150,150,150,150,150,1,0,0,SCA,Target,2,H,T,H,0.1,low,161.5
1,119,2,119.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,H,H,H,0,low,161.5
1,120,3,120.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,H,H,0,low,161.5
1,121,1,121.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0.7,high,161.5
1,122,2,122.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,L,L,0.3,low,161.5
1,123,3,123.3,171,171,171,371,171,1,1,0,SCA,Ortho_control,3,L,H,H,0.4,high,161.5
1,124,1,124.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0.2,low,161.5
1,125,2,125.2,214,NA,419,419,419,1,0,0,SCA,Homophone,1,L,H,L,0.2,low,161.5
1,126,3,126.3,232,232,232,302,232,1,1,0,SCA,Ortho_control,3,L,H,H,0.1,low,161.5
1,128,2,128.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,L,L,0.1,low,161.5
1,129,3,129.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,L,L,0.3,low,161.5
1,130,1,130.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.7,high,161.5
1,131,2,131.2,165,NA,165,357,613,1,0,1,SCA,Homophone,1,H,H,H,0.1,low,161.5
1,132,3,132.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,L,L,0.5,high,161.5
1,134,2,134.2,NA,NA,NA,249,NA,0,1,0,SCA,Homophone,1,H,L,H,0.4,high,161.5
1,135,3,135.3,236,236,236,236,236,1,0,0,SCA,Ortho_control,3,H,L,L,0.4,high,161.5
1,136,1,136.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,1,high,161.5
1,137,2,137.2,NA,NA,NA,125,NA,0,1,0,SCA,Homophone,1,H,H,H,0.2,low,161.5
1,138,3,138.3,NA,NA,NA,295,NA,0,1,0,SCA,Ortho_control,3,H,L,H,0.3,low,161.5
1,139,1,139.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.6,high,161.5
